DEVICE_CATEGORY,PRODUCT_LINE,AVG_MONTHLY_PRODUCT_VIEWED,AVG_MONTHLY_PROJECT_STARTED,AVG_MONTHLY_IMAGE_ADDED,AVG_MONTHLY_PRODUCT_ADDED,AVG_MONTHLY_ORDER_COMPLETED
Desktop,everyday photo books,10916,3221,1256,1075,1026
Desktop,wedding layflat photo albums,8217,3276,833,753,752
Desktop,layflat photo albums,7864,2464,770,643,677
Desktop,hardcover photo books,6915,2501,819,547,702
Desktop,photo-wrapped hardcover,5101,2283,814,544,623
Desktop,signature layflat,4516,1540,444,344,263
Desktop,holiday cards,4459,2467,1703,960,986
Desktop,baby board book,4300,1801,512,386,691
Desktop,everyday print set,4274,2386,1914,1833,1444
Desktop,custom scrapbook layflat,3624,755,110,370,163
Desktop,large format prints,3169,1632,1437,1351,693
Desktop,softcover photo books,3114,1236,445,327,363
Desktop,wedding guest books,2996,1260,382,351,462
Desktop,design services design fees,2640,0,0,0,0
Desktop,baby book,2381,0,0,0,0
Desktop,photo-wrapped layflat,2088,804,297,178,153
Desktop,tone-on-tone frame,1930,351,246,248,101
Desktop,pressed glass ornament,1772,749,657,633,368
Desktop,gallery frames,1758,519,412,403,176
Desktop,travel hardcover,1584,529,166,86,122
Desktop,lustre photo prints,1393,630,543,522,380
Desktop,wedding hardcover,1326,418,133,82,102
Desktop,calendar refills,1303,1092,621,585,797
Desktop,wood calendars,1124,337,172,166,179
Desktop,modern wall tile,1092,167,118,112,64
Desktop,brass easel calendars,1070,336,163,152,176
Desktop,photo print block,1070,301,223,205,142
Desktop,color series photo book,1018,345,138,112,130
Desktop,giclee prints,921,318,267,233,110
Desktop,brass & wood display box,811,212,154,146,125
Desktop,chrome frame ornament,742,275,231,216,101
Desktop,wall calendars,723,286,120,111,120
Desktop,modern metal frames,659,203,163,155,65
Desktop,email giftcard,627,0,0,0,0
Desktop,design your own cards,615,255,176,106,48
Desktop,vow book,612,144,25,72,28
Desktop,early years book,516,0,0,0,0
Desktop,thank you cards,484,163,111,72,49
Desktop,metal tabletop frames,438,187,164,157,85
Desktop,wooden tabletop frames,437,149,133,127,78
Desktop,signature prints,430,131,114,103,57
Desktop,annual hardcover,417,113,31,19,21
Desktop,banister frame,409,123,96,93,29
Desktop,milestone hardcover,372,94,28,17,17
Desktop,design services add on fees,370,0,0,0,0
Desktop,pressed glass frame,367,67,51,47,26
Desktop,deep set frames,335,82,64,60,21
Desktop,photo display ornament,295,212,193,181,76
Desktop,float frames,266,56,43,41,18
Desktop,modern wall calendar refill,264,183,90,82,121
Desktop,elopement layflat,260,25,7,5,3
Desktop,wide wood frame,259,81,66,62,21
Desktop,folded photo cards,252,101,72,57,35
Desktop,framed canvas,242,65,52,45,17
Desktop,wooden photo ledge,241,0,0,0,0
Desktop,mini softcover,233,89,36,25,26
Desktop,guest book,212,46,13,12,11
Desktop,brass easel + prints,202,52,39,35,18
Desktop,add-on print block,199,0,0,0,0
Desktop,scallop tabletop frame,190,52,47,45,23
Desktop,birth announcements,173,53,30,19,14
Desktop,walnut box,154,0,0,0,0
Desktop,save the dates,149,24,12,6,1
Desktop,memorabilia pocket,146,0,0,0,0
Desktop,acrylic calendar,134,13,3,7,2
Desktop,wedding canvas print,127,26,21,18,6
Desktop,wood block refill packs,125,66,55,52,35
Desktop,ornament refill,124,16,13,13,7
Desktop,baby book refill pack,119,0,0,0,0
Desktop,modern wall tile refill,109,47,38,37,27
Desktop,brass easel prints refill pack,108,31,24,22,15
Desktop,graduation announcements,101,24,14,7,6
Desktop,matted print refills for frames,88,24,19,18,6
Desktop,wood frame ornament,83,45,41,39,20
Desktop,everyday photo puzzle,72,19,14,14,7
Desktop,wedding envelope seals,60,0,0,0,0
Desktop,wedding guest book frame,59,6,4,4,1
Desktop,just because cards,47,17,12,6,3
Desktop,early years book refill pack,35,0,0,0,0
Desktop,holiday envelope seals,34,0,0,0,0
Desktop,dust jacket refill,34,16,12,12,10
Desktop,birthday cards,19,4,3,2,1
Desktop,gift tags,2,0,0,0,0
Desktop,wedding album book deposit,1,0,0,0,0
Desktop,wedding guest book set,0,0,0,0,0
Desktop,wood block and prints,0,3,1,1,0
Desktop,curation service,0,0,0,0,0
Mobile,everyday photo books,21636,2431,875,598,378
Mobile,baby board book,16550,2939,823,281,297
Mobile,wedding layflat photo albums,15356,1447,374,214,87
Mobile,layflat photo albums,12337,872,266,151,85
Mobile,wedding guest books,11264,735,259,151,79
Mobile,photo-wrapped hardcover,11129,1602,527,204,126
Mobile,signature layflat,10088,612,158,76,24
Mobile,hardcover photo books,9363,1221,345,137,82
Mobile,holiday cards,8111,1959,1306,586,265
Mobile,pressed glass ornament,7392,1125,909,825,330
Mobile,photo-wrapped layflat,6607,510,149,55,18
Mobile,baby book,6586,0,0,0,0
Mobile,everyday print set,6527,1726,1217,1067,709
Mobile,travel hardcover,4883,375,111,31,24
Mobile,custom scrapbook layflat,3938,451,42,182,43
Mobile,softcover photo books,3708,680,229,104,67
Mobile,large format prints,3475,1010,831,699,269
Mobile,tone-on-tone frame,3139,282,182,169,45
Mobile,wood calendars,2949,497,214,164,147
Mobile,gallery frames,2776,342,252,216,65
Mobile,chrome frame ornament,2692,340,272,239,89
Mobile,modern wall tile,2681,172,109,89,37
Mobile,design services design fees,2658,0,0,0,0
Mobile,wedding hardcover,2351,221,67,23,12
Mobile,photo print block,1740,277,184,153,94
Mobile,brass easel calendars,1674,275,129,98,102
Mobile,color series photo book,1523,204,77,40,32
Mobile,early years book,1282,0,0,0,0
Mobile,brass & wood display box,1126,142,97,84,61
Mobile,calendar refills,1116,819,494,401,501
Mobile,vow book,1085,92,7,26,4
Mobile,lustre photo prints,1057,372,293,263,159
Mobile,wall calendars,771,196,92,60,50
Mobile,giclee prints,736,194,163,133,47
Mobile,email giftcard,702,0,0,0,0
Mobile,annual hardcover,670,97,25,7,4
Mobile,milestone hardcover,556,64,19,6,2
Mobile,banister frame,551,72,54,48,12
Mobile,modern metal frames,530,104,80,69,20
Mobile,metal tabletop frames,381,99,85,75,36
Mobile,photo display ornament,359,94,85,75,27
Mobile,signature prints,352,75,62,53,24
Mobile,pressed glass frame,341,35,25,21,11
Mobile,float frames,318,40,28,24,8
Mobile,wooden tabletop frames,299,85,73,65,33
Mobile,mini softcover,287,41,18,9,6
Mobile,wooden photo ledge,284,0,0,0,0
Mobile,elopement layflat,280,7,3,2,0
Mobile,thank you cards,274,60,42,23,12
Mobile,folded photo cards,268,47,28,18,8
Mobile,design your own cards,260,72,47,26,6
Mobile,design services add on fees,250,0,0,0,0
Mobile,deep set frames,249,40,31,24,7
Mobile,birth announcements,247,36,23,11,6
Mobile,framed canvas,236,41,32,25,7
Mobile,scallop tabletop frame,199,36,31,27,12
Mobile,baby book refill pack,193,0,0,0,0
Mobile,wide wood frame,187,37,30,26,8
Mobile,brass easel + prints,171,29,21,17,8
Mobile,modern wall calendar refill,165,84,45,33,39
Mobile,add-on print block,162,0,0,0,0
Mobile,guest book,157,14,5,3,1
Mobile,ornament refill,156,8,7,7,4
Mobile,acrylic calendar,144,9,1,5,2
Mobile,save the dates,131,8,5,2,0
Mobile,wedding canvas print,126,15,11,9,4
Mobile,memorabilia pocket,97,0,0,0,0
Mobile,graduation announcements,95,9,5,3,1
Mobile,modern wall tile refill,92,34,27,25,14
Mobile,walnut box,88,0,0,0,0
Mobile,wood block refill packs,84,42,31,30,18
Mobile,everyday photo puzzle,81,15,11,9,4
Mobile,wood frame ornament,79,28,25,22,10
Mobile,brass easel prints refill pack,70,19,13,12,8
Mobile,matted print refills for frames,57,14,11,10,2
Mobile,wedding guest book frame,48,3,2,2,0
Mobile,early years book refill pack,42,0,0,0,0
Mobile,wedding envelope seals,36,0,0,0,0
Mobile,just because cards,27,4,3,2,0
Mobile,holiday envelope seals,19,0,0,0,0
Mobile,birthday cards,15,1,1,0,0
Mobile,dust jacket refill,14,3,2,1,1
Mobile,gift tags,0,0,0,0,0
Mobile,wood block and prints,0,0,0,0,0
Mobile,wedding album book deposit,0,0,0,0,0
Mobile,curation service,0,0,0,0,0
Tablet,everyday photo books,269,51,19,13,11
Tablet,baby board book,197,38,13,5,7
Tablet,layflat photo albums,195,29,9,5,5
Tablet,hardcover photo books,184,38,13,4,4
Tablet,wedding layflat photo albums,179,42,13,7,7
Tablet,photo-wrapped hardcover,169,38,14,5,5
Tablet,signature layflat,121,21,5,3,2
Tablet,everyday print set,104,34,25,23,15
Tablet,holiday cards,90,39,25,10,7
Tablet,wedding guest books,75,15,5,3,4
Tablet,photo-wrapped layflat,72,12,4,2,1
Tablet,softcover photo books,69,20,7,3,2
Tablet,pressed glass ornament,63,10,8,7,4
Tablet,custom scrapbook layflat,63,11,2,5,2
Tablet,large format prints,58,21,17,17,8
Tablet,baby book,57,0,0,0,0
Tablet,travel hardcover,55,11,3,1,1
Tablet,design services design fees,48,0,0,0,0
Tablet,wedding hardcover,35,7,2,1,1
Tablet,tone-on-tone frame,34,4,2,2,1
Tablet,wood calendars,33,7,3,3,2
Tablet,modern wall tile,32,4,3,3,2
Tablet,gallery frames,30,7,6,5,2
Tablet,photo print block,28,3,2,2,1
Tablet,color series photo book,26,6,3,1,2
Tablet,brass easel calendars,24,6,3,3,3
Tablet,lustre photo prints,21,8,7,7,5
Tablet,calendar refills,19,14,7,6,8
Tablet,giclee prints,17,6,4,4,1
Tablet,brass & wood display box,17,3,2,2,2
Tablet,milestone hardcover,15,2,1,0,0
Tablet,wall calendars,14,5,2,1,2
Tablet,vow book,14,1,0,1,0
Tablet,early years book,13,0,0,0,0
Tablet,chrome frame ornament,12,3,3,3,1
Tablet,modern metal frames,11,3,3,2,1
Tablet,design your own cards,11,4,3,2,1
Tablet,email giftcard,9,0,0,0,0
Tablet,annual hardcover,9,2,1,0,0
Tablet,metal tabletop frames,8,2,2,2,1
Tablet,folded photo cards,8,3,1,1,1
Tablet,signature prints,8,2,1,1,1
Tablet,wooden tabletop frames,7,2,1,1,1
Tablet,mini softcover,7,2,1,1,0
Tablet,design services add on fees,7,0,0,0,0
Tablet,banister frame,6,1,1,1,0
Tablet,thank you cards,6,2,2,1,0
Tablet,float frames,5,1,0,0,0
Tablet,elopement layflat,5,0,0,0,0
Tablet,photo display ornament,5,2,2,2,1
Tablet,pressed glass frame,5,1,1,1,0
Tablet,wooden photo ledge,4,0,0,0,0
Tablet,modern wall calendar refill,4,2,1,1,1
Tablet,framed canvas,4,1,1,1,1
Tablet,brass easel + prints,4,1,0,0,0
Tablet,deep set frames,4,1,0,0,0
Tablet,birth announcements,3,1,1,0,0
Tablet,wide wood frame,3,1,1,1,0
Tablet,scallop tabletop frame,3,0,0,0,0
Tablet,guest book,3,1,0,0,0
Tablet,baby book refill pack,2,0,0,0,0
Tablet,save the dates,2,1,0,0,0
Tablet,acrylic calendar,2,0,0,0,0
Tablet,memorabilia pocket,2,0,0,0,0
Tablet,brass easel prints refill pack,2,0,0,0,0
Tablet,wood block refill packs,2,2,1,1,1
Tablet,walnut box,2,0,0,0,0
Tablet,modern wall tile refill,2,1,1,1,0
Tablet,add-on print block,2,0,0,0,0
Tablet,matted print refills for frames,2,0,0,0,0
Tablet,graduation announcements,1,0,0,0,0
Tablet,ornament refill,1,0,0,0,0
Tablet,everyday photo puzzle,1,0,0,0,0
Tablet,wedding envelope seals,1,0,0,0,0
Tablet,wood frame ornament,1,0,0,0,0
Tablet,wedding canvas print,1,0,0,0,0
Tablet,early years book refill pack,1,0,0,0,0
Tablet,just because cards,1,0,0,0,0
Tablet,dust jacket refill,0,0,0,0,0
Tablet,holiday envelope seals,0,0,0,0,0
Tablet,wedding guest book frame,0,0,0,0,0